id,name,category,serving_weight,serving_desc,emissions_per_serving,emissions_category_letter,emissions_category_description,carbon_label_url,preservation_methods,food_image_url,expiration_day
6adc2e9c-a445-45c5-bae6-48c0a40d366f,corn crisps,Processed food,80,One bag,1.325,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
bc9231ee-4437-4ee2-aea4-7685a9256fa4,crisps,Processed food,25,small bag,4.41,D,High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+D.png,,,
56693923-0b17-496a-a7fb-def6a8a1210b,custard,Processed food,56,four tablespoons,2.45427,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
4ba3f182-d91b-4472-bfcd-09f75b60145d,fruit salad,Processed food,80,,2.69687,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
3dcb7336-9bba-439f-9d95-697e693efe8e,pizza,Processed food,250,one small/medium sized pizza,3.83425,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
b8078571-e1bd-4f7c-b229-79d6dd979efa,tomato paste,Processed food,20,one tablespoon,4.7486,D,High,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+D.png,,,
a384ea81-17e3-475a-a813-c4f88b2e47bc,apple sauce,Sauces and dressings,16,one tablespoon,2.14587,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
e6764c10-60d5-4939-95dd-e4dbbfbad4e3,barbeque sauce,Sauces and dressings,16,one tablespoon,0.22176,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
02726b98-73cd-400a-9188-c262fe2ea079,beef gravy,Sauces and dressings,240,one cup,0.22176,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
ae4700fb-f2b6-4439-ab87-99a6792c6c6f,beef stock,Sauces and dressings,240,one cup,0.22176,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
