id,name,category,serving_weight,serving_desc,emissions_per_serving,emissions_category_letter,emissions_category_description,carbon_label_url,preservation_methods,food_image_url,expiration_day
0446bcfd-d3ce-434b-9d97-7ad1ed222e6c,strawberries,Fruit,80,handful,2.2432,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
ef812e06-dc06-4b5e-bef1-8e4c4280383a,tomatoes,Fruit,80,One medium tomato or seven cherry tomatoes,2.9052,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
0e2a7ae0-7705-4c92-9b8d-7eb2e6e23876,barley,"Grains, pulses, and legumes",80,Three heaped serving spoons,1.11833,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
14334e16-b998-4a75-9579-a68624622877,basmati rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
1a38ada7-b727-4c92-ae3c-7a41ada4e726,black beans,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.85195,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
2e9c327b-3d74-4b0b-8e6e-6e0692b8e3e4,brown rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
ad803700-8188-4fdb-88a8-e0a05f8cbf4f,buckwheat,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.71846,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
a2aa6cc3-028f-41e9-ae91-0538f9f35086,bulgar,"Grains, pulses, and legumes",120,About 6 tablespoons,0.76008,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
1f5087e8-6fb0-48e4-9481-a4e655ddc458,chickpeas,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.85195,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
282ccd0e-ad0f-4d72-81ce-e22ccef21543,corn,"Grains, pulses, and legumes",120,About 6 tablespoons,0.405,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
3b31543a-7794-40bb-bf2d-f211cf0f21e1,couscous,"Grains, pulses, and legumes",120,About 6 tablespoons,2.44036,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
8600f45a-8b6d-4df8-a875-f5e0a2db6839,faba beans,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.85195,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
4011256b-446b-404f-bc30-e97e5c77a489,frozen pulses,"Grains, pulses, and legumes",80,Three heaped serving spoons,1.83445,B,Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+B.png,,,
714998d4-494b-4801-ab01-6d096d1d87b6,haricot beans,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.85195,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
bdbbbda0-1aac-4ad3-99a1-30b7c8d96a14,jasmin rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
b7e7bb7c-72d9-44a7-a132-d27fda69c10c,kidney beans,"Grains, pulses, and legumes",80,Three heaped serving spoons,0.85195,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
a3f0791f-404c-4546-84d2-2f0d5cef7aa2,lentils,"Grains, pulses, and legumes",120,About 6 tablespoons,0.67038,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
09f334f0-7e8c-4a57-9854-66d5b45f5c97,long-grain rice,"Grains, pulses, and legumes",65,two handfuls,1.35377,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
c705b40b-73fe-4645-bba3-f37aa555fb71,macaroni,"Grains, pulses, and legumes",75,two handfuls,1.37431,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
47b5466a-4c61-4d4f-a6e6-eb7d88f11883,maize,"Grains, pulses, and legumes",120,About 6 tablespoons,0.51,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
5a688cc9-e501-4fd5-a373-f042489b414d,mixed grain,"Grains, pulses, and legumes",65,two handfuls,0.76008,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
6656a718-60c7-49fc-ae97-4369fae24048,noodles,"Grains, pulses, and legumes",75,two handfuls,1.37431,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
23e26ff8-afac-4e46-b592-2f82fcfaf53d,oats,"Grains, pulses, and legumes",120,About 6 tablespoons,0.785,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
787b93f1-0b2a-48fb-9030-290343ef08bf,other pulses,"Grains, pulses, and legumes",120,About 6 tablespoons,3.3,C,Medium,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+C.png,,,
32181b02-a2fb-4d79-99a9-7c7050a5d0ea,pasta,"Grains, pulses, and legumes",75,two handfuls,1.37431,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
cad9abc7-1309-46fa-92de-4f0f7791dace,polenta,"Grains, pulses, and legumes",120,About 6 tablespoons,0.76008,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
82e8024e-411b-4ce8-a953-65bcd19a80b5,quinoa,"Grains, pulses, and legumes",85,half cup,0.81581,A,Very Low,https://myemissions-assets.s3.eu-west-2.amazonaws.com/labels/cloud+A.png,,,
